advertiser_id,marketplace_id,time_window_start,timedata_pst,campaign_id,ad_group_id,ad_id,asin ,keyword_id,keyword_text,placement,currency,cost,impressions,clicks,attributed_sales_7d,attributed_conversions_7d,attributed_units_ordered_7d
ADVER_1,MARKET_99,09-07-2023 10:00,08-07-2023 21:30,363748908938.00,478076800960328.00,500429638686809.00,,527273234775302.00,full size mattress,Other on-Amazon,USD,4.8,150,2,,,
ADVER_1,MARKET_99,09-07-2023 10:00,09-07-2023 21:30,363748908938.00,478076800960328.00,500429638686809.00,,527273234775302.00,full size mattress,Top of Search on-Amazon,USD,0,1,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,10-07-2023 21:30,363748908938.00,478076800960328.00,500429638686809.00,,548150296938353.00,queen mattresses,Other on-Amazon,USD,2.4,66,1,,,
ADVER_1,MARKET_99,09-07-2023 10:00,11-07-2023 21:30,363748908938.00,478076800960328.00,500429638686809.00,,548150296938353.00,queen mattresses,Top of Search on-Amazon,USD,0,1,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,12-07-2023 21:30,363748908938.00,478076800960328.00,504652423529552.00,,349551201110879.00,twin xl mattress,Detail Page on-Amazon,USD,0,1,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,13-07-2023 21:30,363748908938.00,478076800960328.00,504652423529552.00,,430914570498767.00,twin mattress,Detail Page on-Amazon,USD,0,5,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,14-07-2023 21:30,363748908938.00,478076800960328.00,504805234776675.00,,430914570498767.00,twin mattress,Other on-Amazon,USD,0,1,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,15-07-2023 21:30,363748908938.00,478076800960328.00,504805234776675.00,,527273234775302.00,full size mattress,Other on-Amazon,USD,0,2,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,16-07-2023 21:30,363748908938.00,478076800960328.00,504805234776675.00,,548150296938353.00,queen mattresses,Other on-Amazon,USD,0,2,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,17-07-2023 21:30,363748908938.00,478076800960328.00,506751427269315.00,,316935714889859.00,full mattress,Detail Page on-Amazon,USD,0,1,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,18-07-2023 21:30,363748908938.00,478076800960328.00,506751427269315.00,,316935714889859.00,full mattress,Other on-Amazon,USD,0,12,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,19-07-2023 21:30,363748908938.00,478076800960328.00,506751427269315.00,,349551201110879.00,twin xl mattress,Other on-Amazon,USD,0,14,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,20-07-2023 21:30,363748908938.00,478076800960328.00,506751427269315.00,,430914570498767.00,twin mattress,Detail Page on-Amazon,USD,0,20,0,,,
ADVER_1,MARKET_99,09-07-2023 10:00,21-07-2023 21:30,363748908938.00,478076800960328.00,506751427269315.00,,430914570498767.00,twin mattress,Other on-Amazon,USD,2.4,162,1,,,
